fonte;origem;ano;morbidade;estado;sigla;casos
datasus;internações;2021;Retardo mental;Piauí;PI;36
datasus;internações;2021;Outros transtornos mentais e comportamentais;Piauí;PI;161
datasus;internações;2021;Demência;Ceará;CE;20
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Ceará;CE;553
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Ceará;CE;1041
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Ceará;CE;3455
datasus;internações;2021;Transtornos de humor [afetivos];Ceará;CE;1515
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Ceará;CE;100
datasus;internações;2021;Retardo mental;Ceará;CE;186
datasus;internações;2021;Outros transtornos mentais e comportamentais;Ceará;CE;502
datasus;internações;2021;Demência;Rio Grande do Norte;RN;18
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Rio Grande do Norte;RN;159
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rio Grande do Norte;RN;295
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Rio Grande do Norte;RN;1570
datasus;internações;2021;Transtornos de humor [afetivos];Rio Grande do Norte;RN;760
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Rio Grande do Norte;RN;21
datasus;internações;2021;Retardo mental;Rio Grande do Norte;RN;67
datasus;internações;2021;Outros transtornos mentais e comportamentais;Rio Grande do Norte;RN;88
datasus;internações;2021;Demência;Paraíba;PB;37
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Paraíba;PB;368
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Paraíba;PB;667
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Paraíba;PB;1677
datasus;internações;2021;Transtornos de humor [afetivos];Paraíba;PB;828
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Paraíba;PB;21
datasus;internações;2021;Retardo mental;Paraíba;PB;93
datasus;internações;2021;Outros transtornos mentais e comportamentais;Paraíba;PB;183
datasus;internações;2021;Demência;Pernambuco;PE;78
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Pernambuco;PE;1382
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Pernambuco;PE;902
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Pernambuco;PE;1910
datasus;internações;2021;Transtornos de humor [afetivos];Pernambuco;PE;1045
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Pernambuco;PE;77
datasus;internações;2021;Retardo mental;Pernambuco;PE;99
datasus;internações;2021;Outros transtornos mentais e comportamentais;Pernambuco;PE;348
datasus;internações;2021;Demência;Alagoas;AL;10
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Alagoas;AL;424
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Alagoas;AL;406
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Alagoas;AL;1693
datasus;internações;2021;Transtornos de humor [afetivos];Alagoas;AL;358
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Alagoas;AL;10
datasus;internações;2021;Retardo mental;Alagoas;AL;106
datasus;internações;2021;Outros transtornos mentais e comportamentais;Alagoas;AL;334
datasus;internações;2021;Demência;Sergipe;SE;1
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Sergipe;SE;47
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Sergipe;SE;155
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Sergipe;SE;389
datasus;internações;2021;Transtornos de humor [afetivos];Sergipe;SE;159
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Sergipe;SE;9
datasus;internações;2021;Retardo mental;Sergipe;SE;12
datasus;internações;2021;Outros transtornos mentais e comportamentais;Sergipe;SE;11
datasus;internações;2021;Demência;Bahia;BA;82
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Bahia;BA;842
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Bahia;BA;403
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Bahia;BA;1958
datasus;internações;2021;Transtornos de humor [afetivos];Bahia;BA;954
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Bahia;BA;37
datasus;internações;2021;Retardo mental;Bahia;BA;50
datasus;internações;2021;Outros transtornos mentais e comportamentais;Bahia;BA;605
datasus;internações;2021;Demência;Minas Gerais;MG;392
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Minas Gerais;MG;3359
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Minas Gerais;MG;1790
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Minas Gerais;MG;4779
datasus;internações;2021;Transtornos de humor [afetivos];Minas Gerais;MG;3241
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Minas Gerais;MG;250
datasus;internações;2021;Retardo mental;Minas Gerais;MG;224
datasus;internações;2021;Outros transtornos mentais e comportamentais;Minas Gerais;MG;1948
datasus;internações;2021;Demência;Espírito Santo;ES;11
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Espírito Santo;ES;499
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Espírito Santo;ES;503
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Espírito Santo;ES;973
datasus;internações;2021;Transtornos de humor [afetivos];Espírito Santo;ES;738
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Espírito Santo;ES;45
datasus;internações;2021;Retardo mental;Espírito Santo;ES;48
datasus;internações;2021;Outros transtornos mentais e comportamentais;Espírito Santo;ES;209
datasus;internações;2021;Demência;Rio de Janeiro;RJ;511
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Rio de Janeiro;RJ;314
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rio de Janeiro;RJ;754
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Rio de Janeiro;RJ;5780
datasus;internações;2021;Transtornos de humor [afetivos];Rio de Janeiro;RJ;2403
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Rio de Janeiro;RJ;84
datasus;internações;2021;Retardo mental;Rio de Janeiro;RJ;245
datasus;internações;2021;Outros transtornos mentais e comportamentais;Rio de Janeiro;RJ;835
datasus;internações;2021;Demência;São Paulo;SP;494
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;São Paulo;SP;5778
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;São Paulo;SP;9283
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;São Paulo;SP;14777
datasus;internações;2021;Transtornos de humor [afetivos];São Paulo;SP;11201
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;São Paulo;SP;784
datasus;internações;2021;Retardo mental;São Paulo;SP;1363
datasus;internações;2021;Outros transtornos mentais e comportamentais;São Paulo;SP;3801
datasus;internações;2021;Demência;Paraná;PR;60
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Paraná;PR;3269
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Paraná;PR;5142
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Paraná;PR;5178
datasus;internações;2021;Transtornos de humor [afetivos];Paraná;PR;3025
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Paraná;PR;125
datasus;internações;2021;Retardo mental;Paraná;PR;338
datasus;internações;2021;Outros transtornos mentais e comportamentais;Paraná;PR;731
datasus;internações;2021;Demência;Santa Catarina;SC;206
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Santa Catarina;SC;2090
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Santa Catarina;SC;2173
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Santa Catarina;SC;2904
datasus;internações;2021;Transtornos de humor [afetivos];Santa Catarina;SC;4632
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Santa Catarina;SC;114
datasus;internações;2021;Retardo mental;Santa Catarina;SC;118
datasus;internações;2021;Outros transtornos mentais e comportamentais;Santa Catarina;SC;858
datasus;internações;2021;Demência;Rio Grande do Sul;RS;329
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Rio Grande do Sul;RS;5603
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rio Grande do Sul;RS;8906
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Rio Grande do Sul;RS;5309
datasus;internações;2021;Transtornos de humor [afetivos];Rio Grande do Sul;RS;10811
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Rio Grande do Sul;RS;216
datasus;internações;2021;Retardo mental;Rio Grande do Sul;RS;442
datasus;internações;2021;Outros transtornos mentais e comportamentais;Rio Grande do Sul;RS;1647
datasus;internações;2021;Demência;Mato Grosso do Sul;MS;32
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Mato Grosso do Sul;MS;162
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Mato Grosso do Sul;MS;317
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Mato Grosso do Sul;MS;422
datasus;internações;2021;Transtornos de humor [afetivos];Mato Grosso do Sul;MS;345
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Mato Grosso do Sul;MS;29
datasus;internações;2021;Retardo mental;Mato Grosso do Sul;MS;20
datasus;internações;2021;Outros transtornos mentais e comportamentais;Mato Grosso do Sul;MS;123
datasus;internações;2021;Demência;Mato Grosso;MT;4
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Mato Grosso;MT;337
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Mato Grosso;MT;259
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Mato Grosso;MT;799
datasus;internações;2021;Transtornos de humor [afetivos];Mato Grosso;MT;392
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Mato Grosso;MT;49
datasus;internações;2021;Retardo mental;Mato Grosso;MT;53
datasus;internações;2021;Outros transtornos mentais e comportamentais;Mato Grosso;MT;89
datasus;internações;2021;Demência;Goiás;GO;37
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Goiás;GO;1131
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Goiás;GO;1164
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Goiás;GO;2350
datasus;internações;2021;Transtornos de humor [afetivos];Goiás;GO;3277
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Goiás;GO;183
datasus;internações;2021;Retardo mental;Goiás;GO;76
datasus;internações;2021;Outros transtornos mentais e comportamentais;Goiás;GO;301
datasus;internações;2021;Demência;Distrito Federal;DF;124
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Distrito Federal;DF;629
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Distrito Federal;DF;303
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Distrito Federal;DF;916
datasus;internações;2021;Transtornos de humor [afetivos];Distrito Federal;DF;1332
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Distrito Federal;DF;248
datasus;internações;2021;Retardo mental;Distrito Federal;DF;110
datasus;internações;2021;Outros transtornos mentais e comportamentais;Distrito Federal;DF;638
