fonte;origem;ano;morbidade;estado;sigla;casos;;;;;
datasus;internações;2019;Retardo mental;Amazonas;AM;2;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Amazonas;AM;19;;;;;
datasus;internações;2019;Demência;Roraima;RR;1;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Roraima;RR;11;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Roraima;RR;24;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Roraima;RR;105;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Roraima;RR;49;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Roraima;RR;-;;;;;
datasus;internações;2019;Retardo mental;Roraima;RR;7;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Roraima;RR;16;;;;;
datasus;internações;2019;Demência;Pará;PA;30;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Pará;PA;63;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Pará;PA;170;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Pará;PA;1929;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Pará;PA;784;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Pará;PA;21;;;;;
datasus;internações;2019;Retardo mental;Pará;PA;23;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Pará;PA;136;;;;;
datasus;internações;2019;Demência;Amapá;AP;1;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Amapá;AP;6;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Amapá;AP;16;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Amapá;AP;86;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Amapá;AP;13;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Amapá;AP;9;;;;;
datasus;internações;2019;Retardo mental;Amapá;AP;1;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Amapá;AP;2;;;;;
datasus;internações;2019;Demência;Tocantins;TO;12;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Tocantins;TO;88;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Tocantins;TO;120;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Tocantins;TO;531;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Tocantins;TO;209;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Tocantins;TO;6;;;;;
datasus;internações;2019;Retardo mental;Tocantins;TO;1;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Tocantins;TO;33;;;;;
datasus;internações;2019;Demência;Maranhão;MA;5;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Maranhão;MA;788;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Maranhão;MA;557;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Maranhão;MA;2199;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Maranhão;MA;1167;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Maranhão;MA;57;;;;;
datasus;internações;2019;Retardo mental;Maranhão;MA;139;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Maranhão;MA;75;;;;;
datasus;internações;2019;Demência;Piauí;PI;20;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Piauí;PI;445;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Piauí;PI;547;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Piauí;PI;1163;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Piauí;PI;605;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Piauí;PI;56;;;;;
datasus;internações;2019;Retardo mental;Piauí;PI;38;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Piauí;PI;179;;;;;
datasus;internações;2019;Demência;Ceará;CE;59;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Ceará;CE;787;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Ceará;CE;1485;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Ceará;CE;3829;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Ceará;CE;1383;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Ceará;CE;78;;;;;
datasus;internações;2019;Retardo mental;Ceará;CE;247;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Ceará;CE;453;;;;;
datasus;internações;2019;Demência;Rio Grande do Norte;RN;5;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Rio Grande do Norte;RN;205;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rio Grande do Norte;RN;314;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Rio Grande do Norte;RN;1506;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Rio Grande do Norte;RN;736;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Rio Grande do Norte;RN;13;;;;;
datasus;internações;2019;Retardo mental;Rio Grande do Norte;RN;20;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Rio Grande do Norte;RN;60;;;;;
datasus;internações;2019;Demência;Paraíba;PB;45;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Paraíba;PB;437;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Paraíba;PB;636;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Paraíba;PB;1841;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Paraíba;PB;705;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Paraíba;PB;19;;;;;
datasus;internações;2019;Retardo mental;Paraíba;PB;115;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Paraíba;PB;127;;;;;
datasus;internações;2019;Demência;Pernambuco;PE;92;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Pernambuco;PE;1699;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Pernambuco;PE;691;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Pernambuco;PE;2193;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Pernambuco;PE;929;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Pernambuco;PE;69;;;;;
datasus;internações;2019;Retardo mental;Pernambuco;PE;106;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Pernambuco;PE;389;;;;;
datasus;internações;2019;Demência;Alagoas;AL;15;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Alagoas;AL;588;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Alagoas;AL;485;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Alagoas;AL;2080;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Alagoas;AL;379;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Alagoas;AL;15;;;;;
datasus;internações;2019;Retardo mental;Alagoas;AL;103;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Alagoas;AL;240;;;;;
datasus;internações;2019;Demência;Sergipe;SE;-;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Sergipe;SE;98;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Sergipe;SE;116;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Sergipe;SE;692;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Sergipe;SE;329;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Sergipe;SE;10;;;;;
datasus;internações;2019;Retardo mental;Sergipe;SE;43;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Sergipe;SE;42;;;;;
datasus;internações;2019;Demência;Bahia;BA;120;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Bahia;BA;98;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Bahia;BA;116;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Bahia;BA;692;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Bahia;BA;329;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Bahia;BA;10;;;;;
datasus;internações;2019;Retardo mental;Bahia;BA;43;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Bahia;BA;42;;;;;
datasus;internações;2019;Demência;Minas Gerais;MG;490;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Minas Gerais;MG;3927;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Minas Gerais;MG;1991;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Minas Gerais;MG;5561;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Minas Gerais;MG;3595;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Minas Gerais;MG;287;;;;;
datasus;internações;2019;Retardo mental;Minas Gerais;MG;355;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Minas Gerais;MG;2089;;;;;
datasus;internações;2019;Demência;Espírito Santo;ES;17;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Espírito Santo;ES;508;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Espírito Santo;ES;471;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Espírito Santo;ES;1253;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Espírito Santo;ES;733;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Espírito Santo;ES;43;;;;;
datasus;internações;2019;Retardo mental;Espírito Santo;ES;32;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Espírito Santo;ES;156;;;;;
datasus;internações;2019;Demência;Rio de Janeiro;RJ;662;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Rio de Janeiro;RJ;640;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rio de Janeiro;RJ;735;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Rio de Janeiro;RJ;6571;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Rio de Janeiro;RJ;2462;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Rio de Janeiro;RJ;114;;;;;
datasus;internações;2019;Retardo mental;Rio de Janeiro;RJ;307;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Rio de Janeiro;RJ;876;;;;;
datasus;internações;2019;Demência;São Paulo;SP;559;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;São Paulo;SP;7426;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;São Paulo;SP;11983;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;São Paulo;SP;18636;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];São Paulo;SP;13985;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;São Paulo;SP;906;;;;;
datasus;internações;2019;Retardo mental;São Paulo;SP;1769;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;São Paulo;SP;4722;;;;;
datasus;internações;2019;Demência;Paraná;PR;106;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Paraná;PR;4253;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Paraná;PR;4573;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Paraná;PR;5702;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Paraná;PR;3922;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Paraná;PR;99;;;;;
datasus;internações;2019;Retardo mental;Paraná;PR;411;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Paraná;PR;1278;;;;;
datasus;internações;2019;Demência;Santa Catarina;SC;129;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Santa Catarina;SC;2558;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Santa Catarina;SC;2677;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Santa Catarina;SC;3005;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Santa Catarina;SC;5071;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Santa Catarina;SC;160;;;;;
datasus;internações;2019;Retardo mental;Santa Catarina;SC;97;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Santa Catarina;SC;905;;;;;
datasus;internações;2019;Demência;Rio Grande do Sul;RS;337;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Rio Grande do Sul;RS;6737;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rio Grande do Sul;RS;11178;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Rio Grande do Sul;RS;6297;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Rio Grande do Sul;RS;14008;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Rio Grande do Sul;RS;325;;;;;
datasus;internações;2019;Retardo mental;Rio Grande do Sul;RS;460;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Rio Grande do Sul;RS;1943;;;;;
datasus;internações;2019;Demência;Mato Grosso do Sul;MS;36;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Mato Grosso do Sul;MS;242;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Mato Grosso do Sul;MS;361;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Mato Grosso do Sul;MS;423;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Mato Grosso do Sul;MS;476;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Mato Grosso do Sul;MS;34;;;;;
datasus;internações;2019;Retardo mental;Mato Grosso do Sul;MS;18;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Mato Grosso do Sul;MS;121;;;;;
datasus;internações;2019;Demência;Mato Grosso;MT;14;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Mato Grosso;MT;358;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Mato Grosso;MT;498;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Mato Grosso;MT;837;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Mato Grosso;MT;426;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Mato Grosso;MT;30;;;;;
datasus;internações;2019;Retardo mental;Mato Grosso;MT;50;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Mato Grosso;MT;55;;;;;
datasus;internações;2019;Demência;Goiás;GO;31;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Goiás;GO;1123;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Goiás;GO;1646;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Goiás;GO;2892;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Goiás;GO;3369;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Goiás;GO;181;;;;;
datasus;internações;2019;Retardo mental;Goiás;GO;73;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Goiás;GO;442;;;;;
datasus;internações;2019;Demência;Distrito Federal;DF;149;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Distrito Federal;DF;939;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Distrito Federal;DF;583;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Distrito Federal;DF;1280;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Distrito Federal;DF;1501;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Distrito Federal;DF;203;;;;;
datasus;internações;2019;Retardo mental;Distrito Federal;DF;108;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Distrito Federal;DF;638;;;;;
