fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2018;Retardo mental;Minas Gerais;MG;400
datasus;internações;2018;Outros transtornos mentais e comportamentais;Minas Gerais;MG;1698
datasus;internações;2018;Demência;Espírito Santo;ES;10
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Espírito Santo;ES;409
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Espírito Santo;ES;544
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Espírito Santo;ES;755
datasus;internações;2018;Transtornos de humor [afetivos];Espírito Santo;ES;455
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Espírito Santo;ES;41
datasus;internações;2018;Retardo mental;Espírito Santo;ES;19
datasus;internações;2018;Outros transtornos mentais e comportamentais;Espírito Santo;ES;95
datasus;internações;2018;Demência;Rio de Janeiro;RJ;642
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio de Janeiro;RJ;524
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio de Janeiro;RJ;686
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio de Janeiro;RJ;6046
datasus;internações;2018;Transtornos de humor [afetivos];Rio de Janeiro;RJ;1919
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio de Janeiro;RJ;92
datasus;internações;2018;Retardo mental;Rio de Janeiro;RJ;294
datasus;internações;2018;Outros transtornos mentais e comportamentais;Rio de Janeiro;RJ;600
datasus;internações;2018;Demência;São Paulo;SP;593
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;São Paulo;SP;6917
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;São Paulo;SP;11399
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;São Paulo;SP;17955
datasus;internações;2018;Transtornos de humor [afetivos];São Paulo;SP;11634
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";São Paulo;SP;775
datasus;internações;2018;Retardo mental;São Paulo;SP;1806
datasus;internações;2018;Outros transtornos mentais e comportamentais;São Paulo;SP;4296
datasus;internações;2018;Demência;Paraná;PR;68
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Paraná;PR;4996
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Paraná;PR;5931
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Paraná;PR;5682
datasus;internações;2018;Transtornos de humor [afetivos];Paraná;PR;4327
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Paraná;PR;162
datasus;internações;2018;Retardo mental;Paraná;PR;377
datasus;internações;2018;Outros transtornos mentais e comportamentais;Paraná;PR;1262
datasus;internações;2018;Demência;Santa Catarina;SC;178
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Santa Catarina;SC;3071
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Santa Catarina;SC;2905
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Santa Catarina;SC;2755
datasus;internações;2018;Transtornos de humor [afetivos];Santa Catarina;SC;4616
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Santa Catarina;SC;124
datasus;internações;2018;Retardo mental;Santa Catarina;SC;114
datasus;internações;2018;Outros transtornos mentais e comportamentais;Santa Catarina;SC;700
datasus;internações;2018;Demência;Rio Grande do Sul;RS;390
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio Grande do Sul;RS;6776
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio Grande do Sul;RS;11286
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio Grande do Sul;RS;5976
datasus;internações;2018;Transtornos de humor [afetivos];Rio Grande do Sul;RS;12254
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio Grande do Sul;RS;304
datasus;internações;2018;Retardo mental;Rio Grande do Sul;RS;530
datasus;internações;2018;Outros transtornos mentais e comportamentais;Rio Grande do Sul;RS;1572
datasus;internações;2018;Demência;Mato Grosso do Sul;MS;40
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Mato Grosso do Sul;MS;209
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Mato Grosso do Sul;MS;367
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Mato Grosso do Sul;MS;434
datasus;internações;2018;Transtornos de humor [afetivos];Mato Grosso do Sul;MS;326
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Mato Grosso do Sul;MS;23
datasus;internações;2018;Retardo mental;Mato Grosso do Sul;MS;30
datasus;internações;2018;Outros transtornos mentais e comportamentais;Mato Grosso do Sul;MS;168
datasus;internações;2018;Demência;Mato Grosso ;MT;11
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Mato Grosso ;MT;351
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Mato Grosso ;MT;458
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Mato Grosso ;MT;815
datasus;internações;2018;Transtornos de humor [afetivos];Mato Grosso ;MT;370
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Mato Grosso ;MT;17
datasus;internações;2018;Retardo mental;Mato Grosso ;MT;27
datasus;internações;2018;Outros transtornos mentais e comportamentais;Mato Grosso ;MT;71
datasus;internações;2018;Demência;Goiás;GO;39
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Goiás;GO;1256
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Goiás;GO;1971
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Goiás;GO;2566
datasus;internações;2018;Transtornos de humor [afetivos];Goiás;GO;2986
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Goiás;GO;92
datasus;internações;2018;Retardo mental;Goiás;GO;66
datasus;internações;2018;Outros transtornos mentais e comportamentais;Goiás;GO;470
datasus;internações;2018;Demência;Distrito Federal;DF;144
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Distrito Federal;DF;826
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Distrito Federal;DF;443
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Distrito Federal;DF;1474
datasus;internações;2018;Transtornos de humor [afetivos];Distrito Federal;DF;1328
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Distrito Federal;DF;156
datasus;internações;2018;Retardo mental;Distrito Federal;DF;119
datasus;internações;2018;Outros transtornos mentais e comportamentais;Distrito Federal;DF;593
